teff_0,logg_0,teff_0.5,logg_0.5,teff_-0.5,logg_-0.5
3.501075126,5.08930516,3.345707527,5.094854666,3.501113057,5.290860595
3.504288278,5.073884859,3.348877985,5.089543697,3.502341971,5.286649885
3.507470306,5.058471934,3.353420144,5.081934752,3.505737337,5.275017762
3.510113577,5.045869212,3.358358306,5.073662153,3.509131833,5.263391645
3.511545782,5.040053082,3.363038437,5.065821563,3.512816928,5.250772872
3.513017619,5.033981379,3.367598677,5.058181372,3.51632088,5.238777592
3.514430041,5.028069651,3.37246652,5.050024827,3.519660928,5.227346548
3.515845249,5.022054444,3.428872556,4.916774876,3.523287997,5.21493347
3.517268204,5.0159264,3.429545726,4.915463375,3.526911397,5.202534861
3.518734832,5.00955286,3.430186715,4.914075083,3.53036029,5.190735918
3.520181908,5.003317115,3.430796341,4.912528291,3.533716556,5.179204238
3.521560148,4.99729815,3.431445797,4.910499917,3.537352744,5.166637906
3.523210284,4.991006264,3.432106992,4.908302478,3.540656744,5.155025861
3.524907052,4.984961486,3.432763956,4.906016746,3.543077009,5.145428852
3.526549761,4.979074635,3.433456532,4.905011275,3.545614038,5.135184271
3.528149502,4.973304505,3.434148686,4.905123644,3.548118428,5.124883333
3.529721636,4.967604494,3.434793853,4.903038741,3.550550768,5.114660072
3.531336378,4.961891368,3.435469666,4.900384326,3.552984362,5.103882715
3.532864997,4.956471097,3.436173212,4.898954545,3.555333964,5.092982969
3.534216424,4.951778502,3.436881399,4.8987955,3.557393306,5.082545062
3.535470724,4.948367824,3.437551796,4.895976318,3.558533797,5.071181604
3.536492119,4.945520532,3.438296367,4.892533945,3.559655087,5.059863512
3.536749208,4.94486124,3.439004015,4.893112059,3.560708015,5.049084744
3.537000864,4.944180864,3.439714598,4.891302027,3.561704064,5.038759156
3.537246756,4.943475093,3.440429058,4.890139655,3.562745501,5.027903691
3.537508529,4.942788349,3.441181898,4.887960125,3.563477305,5.020055583
3.53776349,4.942072884,3.442102718,4.886464967,3.564044395,5.013861563
3.538018852,4.941337847,3.443060653,4.885110947,3.564608319,5.00771569
3.538292269,4.940579246,3.445068363,4.88277294,3.565157744,5.001730966
3.538613651,4.93962429,3.447891578,4.880503273,3.565699285,4.995845568
3.538948405,4.938656014,3.450550802,4.875956206,3.566226255,4.990128784
3.539700033,4.936471441,3.453101604,4.875391267,3.566752655,4.984548841
3.54062057,4.933757677,3.455385019,4.873964484,3.567256645,4.979198725
3.54158013,4.931045209,3.457599432,4.865313606,3.567691563,4.974884449
